Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     23.26     0.00        1     0.00     0.00  wsvqa_probe
  0.00     23.26     0.00        1     0.00     0.00  wv_probe
  0.00     23.26     0.00        1     0.00     0.00  xa_probe
  0.00     23.26     0.00        1     0.00     0.00  yuv4_probe

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.04% of 23.26 seconds

index % time    self  children    called     name
                0.07   20.05     467/467         avcodec_decode_video2 [2]
[1]     86.5    0.07   20.05     467         ff_h263_decode_frame [1]
                2.90   16.65     467/467         decode_slice [3]
                0.46    0.00     467/467         MPV_frame_end [14]
                0.02    0.00     467/868         decode_vop_header [34]
                0.01    0.00     467/467         MPV_frame_start [42]
                0.00    0.00       1/1           MPV_common_init [59]
                0.00    0.00     468/869         ff_mpeg4_decode_picture_header [123]
                0.00    0.00     468/468         init_get_bits [130]
                0.00    0.00     467/467         ff_find_unused_picture [134]
                0.00    0.00     467/467         get_consumed_bytes [138]
                0.00    0.00     467/467         ff_er_frame_start [133]
                0.00    0.00     467/467         ff_er_frame_end [132]
                0.00    0.00     467/467         ff_print_debug_info [135]
-----------------------------------------------
                                                 <spontaneous>
[2]     86.5    0.00   20.12                 avcodec_decode_video2 [2]
                0.07   20.05     467/467         ff_h263_decode_frame [1]
                0.00    0.00     467/946         avcodec_check_dimensions [122]
-----------------------------------------------
                2.90   16.65     467/467         ff_h263_decode_frame [1]
[3]     84.0    2.90   16.65     467         decode_slice [3]
                4.41    4.47  410768/410768      MPV_decode_mb [4]
                4.87    2.90  410770/410770      mpeg4_decode_mb [5]
                0.00    0.00  410768/410768      ff_h263_update_motion_val [79]
                0.00    0.00   10270/10270       ff_init_block_index [99]
                0.00    0.00   10270/10270       ff_draw_horiz_band [98]
                0.00    0.00     467/467         ff_set_qscale [136]
                0.00    0.00     467/467         ff_er_add_slice [131]
-----------------------------------------------
                4.41    4.47  410768/410768      decode_slice [3]
[4]     38.2    4.41    4.47  410768         MPV_decode_mb [4]
                2.77    0.00  225869/225869      MPV_motion [7]
                1.70    0.00  297655/297655      put_dct [9]
                0.00    0.00 1355212/1355212     add_dct [78]
                0.00    0.00   43305/43305       ff_clean_intra_table_entries [90]
-----------------------------------------------
                4.87    2.90  410770/410770      decode_slice [3]
[5]     33.4    4.87    2.90  410770         mpeg4_decode_mb [5]
                2.90    0.00 1298237/1298237     mpeg4_decode_block [6]
                0.00    0.00  410768/410768      mpeg4_is_resync [80]
                0.00    0.00  333528/333528      h263_decode_motion [81]
                0.00    0.00  230807/230807      clear_blocks_c [86]
                0.00    0.00  166764/166764      h263_pred_motion [88]
-----------------------------------------------
                2.90    0.00 1298237/1298237     mpeg4_decode_mb [5]
[6]     12.5    2.90    0.00 1298237         mpeg4_decode_block [6]
                0.00    0.00  297659/297659      mpeg4_decode_dc [82]
                0.00    0.00  297658/297658      mpeg4_pred_ac [84]
                0.00    0.00  297658/297658      get_amv [83]
-----------------------------------------------
                2.77    0.00  225869/225869      MPV_decode_mb [4]
[7]     11.9    2.77    0.00  225869         MPV_motion [7]
                0.00    0.00  225869/225869      prefetch_motion [87]
                0.00    0.00   20589/20589       ff_put_no_rnd_pixels16_xy2_arm [92]
                0.00    0.00   14733/14733       ff_emulated_edge_mc [93]
                0.00    0.00   14155/14155       ff_put_pixels16_xy2_arm [94]
                0.00    0.00   11877/11877       ff_put_no_rnd_pixels16_y2_arm [96]
                0.00    0.00   10774/10774       ff_put_no_rnd_pixels16_x2_arm [97]
                0.00    0.00    9325/9325        ff_put_pixels16_y2_arm [100]
                0.00    0.00    8354/8354        ff_put_pixels16_x2_arm [101]
-----------------------------------------------
                                                 <spontaneous>
[8]      8.9    0.01    2.06                 av_find_stream_info [8]
                0.00    1.56       1/1           avcodec_decode_audio3 [12]
                0.01    0.42      56/56          av_read_frame_internal [15]
                0.05    0.00      52/64          av_rescale_q [29]
                0.00    0.01       1/1           fill_all_stream_timings [54]
                0.00    0.01       1/2           av_update_stream_timings [43]
                0.00    0.00      56/56          add_to_pktbuf [56]
                0.00    0.00       3/12          av_reduce [47]
                0.00    0.00       2/2           av_parser_init [64]
                0.00    0.00       2/2           avcodec_open [65]
                0.00    0.00       1/132         av_mallocz [50]
                0.00    0.00       1/4399        url_ftell [37]
                0.00    0.00     116/116         has_codec_parameters [143]
                0.00    0.00      57/991         __aeabi_ulcmp [3714]
                0.00    0.00      56/56          av_dup_packet [146]
                0.00    0.00      48/60          av_gcd [145]
                0.00    0.00       2/2           avcodec_find_decoder [180]
                0.00    0.00       2/2           avcodec_close [178]
                0.00    0.00       2/3805        av_free [106]
                0.00    0.00       2/2346        av_malloc [110]
                0.00    0.00       1/2           av_get_bits_per_sample [170]
                0.00    0.00       1/2           av_log [172]
                0.00    0.00       1/1           ff_mpeg4video_split [231]
                0.00    0.00       1/2           url_fsize [189]
-----------------------------------------------
                1.70    0.00  297655/297655      MPV_decode_mb [4]
[9]      7.3    1.70    0.00  297655         put_dct [9]
                0.00    0.00  297655/297655      dct_unquantize_h263_intra_armv5te [85]
-----------------------------------------------
                0.00    1.56     764/764         avcodec_decode_audio3 [12]
[10]     6.7    0.00    1.56     764         decode_frame [10]
                1.56    0.00     764/764         mp_decode_frame [11]
                0.00    0.00     764/1459        ff_mpegaudio_decode_header [113]
