Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    100.12     0.00        1     0.00     0.00  url_fdopen
  0.00    100.12     0.00        1     0.00     0.00  url_fopen
  0.00    100.12     0.00        1     0.00     0.00  url_get_max_packet_size
  0.00    100.12     0.00        1     0.00     0.00  url_open
  0.00    100.12     0.00        1     0.00     0.00  url_open_protocol
  0.00    100.12     0.00        1     0.00     0.00  url_resetbuf
  0.00    100.12     0.00        1     0.00     0.00  vc1t_probe
  0.00    100.12     0.00        1     0.00     0.00  vid_probe
  0.00    100.12     0.00        1     0.00     0.00  vmd_probe
  0.00    100.12     0.00        1     0.00     0.00  voc_probe
  0.00    100.12     0.00        1     0.00     0.00  vqf_probe
  0.00    100.12     0.00        1     0.00     0.00  w64_probe
  0.00    100.12     0.00        1     0.00     0.00  wav_probe
  0.00    100.12     0.00        1     0.00     0.00  wc3_probe
  0.00    100.12     0.00        1     0.00     0.00  wsaud_probe
  0.00    100.12     0.00        1     0.00     0.00  wsvqa_probe
  0.00    100.12     0.00        1     0.00     0.00  wv_probe
  0.00    100.12     0.00        1     0.00     0.00  xa_probe
  0.00    100.12     0.00        1     0.00     0.00  yuv4_probe

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.01% of 100.12 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     88.7    0.04   88.77                 avcodec_decode_video2 [1]
                0.17   88.60    1778/1778        ff_h263_decode_frame [2]
